STATE,YEAR,GRAIN,TEMP_MEAN,TEMP_MIN,TEMP_MAX,PCP_SUM,PDSI_MEAN
NEBRASKA,1907,24.0,47.525,8.6,86.6,19.98,4.0125
ILLINOIS,1908,35.0,52.291666666666664,18.8,86.2,35.44,0.2308333333333333
INDIANA,1908,30.5,52.125,18.5,86.8,33.36,-0.4108333333333333
IOWA,1908,38.0,48.333333333333336,12.5,84.2,34.74,2.1141666666666667
MINNESOTA,1908,29.0,41.13333333333333,1.8,80.1,27.95,2.27
MISSOURI,1908,27.0,55.28333333333333,21.6,87.3,43.03,1.0041666666666669
NEBRASKA,1908,27.0,48.84166666666667,15.6,84.7,26.05,3.046666666666667
ILLINOIS,1909,38.8,50.9,12.3,89.0,43.17,0.9725
INDIANA,1909,39.9,50.60833333333333,13.7,85.9,47.58,1.4391666666666667
IOWA,1909,37.1,46.3,5.9,87.6,39.67,2.7449999999999997
MINNESOTA,1909,33.9,38.7,-3.5,80.5,28.67,1.4766666666666666
MISSOURI,1909,26.9,54.583333333333336,15.0,92.4,45.4,0.6891666666666666
NEBRASKA,1909,24.8,46.86666666666667,3.8,89.8,25.41,4.110833333333333
ILLINOIS,1910,41.0,50.84166666666667,14.4,87.0,31.86,-0.7741666666666666
INDIANA,1910,39.0,50.15,15.1,85.3,37.61,0.3433333333333333
IOWA,1910,41.5,47.59166666666667,5.6,87.8,20.21,-2.4683333333333333
MINNESOTA,1910,32.0,40.78333333333334,-6.9,83.3,15.08,-2.893333333333333
MISSOURI,1910,33.0,54.09166666666667,16.9,87.8,37.25,0.2933333333333333
NEBRASKA,1910,26.0,49.3,9.8,89.5,16.87,-0.9333333333333332
ILLINOIS,1911,36.0,52.708333333333336,19.7,88.7,38.64,-0.1575
INDIANA,1911,34.5,52.291666666666664,21.6,87.5,39.71,-0.0025
IOWA,1911,35.5,48.4,7.9,89.0,31.63,-2.8966666666666665
MINNESOTA,1911,33.0,39.6,-9.8,81.3,27.56,-3.659166666666667
MISSOURI,1911,26.0,56.083333333333336,23.6,92.0,37.68,-0.5541666666666666
